 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
1,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 001; 01-09; 700-10000,1128,104.723,26.83,96,65,180,701.385,68.622,701.8,68.256,171.137,674,55,56,29,56.004,25.645,0.63,0.484,56.321,118127,101,0.625,-0.316,99.034,118127,674,62,173.884,28.991,2.184,0.458,0.847,65,255
2,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 002; 01-09; 700-10000,913,109.894,33.396,65,65,222,160.473,82.684,159.302,83.019,189.622,128,65,64,35,64.927,17.904,25.572,0.319,65.97,100333,105,0.629,-0.285,98.067,100333,128,92,14.036,21.932,3.626,0.276,0.752,65,255
3,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 003; 01-09; 700-10000,3109,115.1,41.274,80,65,255,233.242,168.367,229.695,168.521,480.968,182,111,102,100,85.679,46.202,42.663,0.169,118.512,357846,105,0.994,0.426,98.981,357846,183,175,31.544,66.79,1.854,0.539,0.628,65,255
4,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 004; 01-09; 700-10000,972,109.501,31.157,92,65,219,318.468,137.93,319.902,138.253,156.61,290,123,57,27,55.627,22.248,8.862,0.498,57.559,106435,104,0.727,-0.035,98.48,106435,290,135,7.989,25.123,2.5,0.4,0.82,65,255
5,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 005; 01-09; 700-10000,1724,101.513,31.875,89,65,228,1276.992,383.195,1278.795,382.14,268.049,1249,351,64,58,52.708,41.645,152.75,0.302,73.553,175009,91,1.388,1.732,93.492,175009,1257,351,136.102,51.745,1.266,0.79,0.671,65,255
6,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 006; 01-09; 700-10000,702,120.168,41.645,98,65,241,881.956,402.999,882.335,402.248,112.468,865,390,34,28,33.173,26.944,19.089,0.697,37.121,84358,111,0.696,-0.362,98.873,84358,866,413,27.255,27.784,1.231,0.812,0.898,65,255
7,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 007; 01-09; 700-10000,911,96.944,25.277,75,65,189,147.748,542.113,149.664,541.482,284.919,110,527,65,34,54.258,21.378,10.504,0.141,68.308,88316,91,1.136,1.047,99.129,88316,110,555,17.904,32.71,2.538,0.394,0.55,65,255
8,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 008; 01-09; 700-10000,710,83.913,13,71,65,116,108.261,662.262,108.508,662.515,233.321,86,646,49,34,39.71,22.765,37.478,0.164,53.712,59578,82,0.339,-0.967,93.668,59578,86,671,24.179,32.344,1.744,0.573,0.642,65,255
9,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 009; 01-09; 700-10000,673,89.655,16.757,71,65,135,1183.506,666.231,1184.453,666.452,160.267,1148,654,61,27,54.739,15.654,156.504,0.329,64.514,60338,88,0.436,-0.676,94.789,60338,1148,658,161.003,21.368,3.497,0.286,0.691,65,255
10,Ctrl_S6TPE_10_20x_Ant_R_VTA red: region 010; 01-09; 700-10000,1063,96.832,23.228,77,65,186,239.77,859.407,239.705,859.61,230.35,199,848,80,24,73.563,18.399,178.934,0.252,80.753,102932,92,0.766,0.087,99.439,102932,199,852,172.171,24,3.998,0.25,0.683,65,255
11,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 001; 01-09; 700-10000,940,106.12,28.023,70,67,185,949.434,155.043,947.286,155.94,206.836,921,128,68,45,68.246,17.537,28.854,0.276,79.076,99753,102,0.56,-0.558,99.052,99753,922,170,32.082,24.222,3.891,0.257,0.726,67,255
12,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 002; 01-09; 700-10000,1015,106.691,26.122,77,67,178,429.442,161.518,427.929,161.796,178.652,398,144,63,34,51.113,25.284,0.922,0.4,63.127,108291,105,0.368,-0.779,96.026,108291,398,147,176.367,34,2.022,0.495,0.627,67,255
13,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 003; 01-09; 700-10000,699,112.748,28.976,106,67,195,335.76,188.6,335.571,188.796,147.154,314,175,47,24,45.591,19.521,171.562,0.406,51.478,78811,108,0.554,-0.276,98.312,78811,314,175,155.925,22.292,2.335,0.428,0.859,67,255
14,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 004; 01-09; 700-10000,704,121.996,39.17,67,67,226,855.74,189.895,855.75,190.209,145.64,823,180,61,20,55.968,16.016,10.517,0.417,61.4,85885,117,0.588,-0.5,99.435,85885,823,194,6.546,17.676,3.495,0.286,0.853,67,255
15,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 005; 01-09; 700-10000,2412,118.29,39.63,76,67,249,993.489,342.783,996.903,341.633,404.902,935,321,125,47,98.279,31.248,5.284,0.185,125.674,285315,110,0.819,-0.014,93.998,285315,935,336,5.937,43.248,3.145,0.318,0.622,67,255
16,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 006; 01-09; 700-10000,1056,129.645,43.579,84,67,255,970.859,404.189,970.332,405.585,172.794,951,372,37,58,56.053,23.987,63.635,0.444,61.685,136905,123,0.728,0.065,98.233,136905,959,430,70.096,29.968,2.337,0.428,0.767,67,255
17,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 007; 01-09; 700-10000,726,123.417,42.1,67,67,247,137.099,396.642,137.944,396.7,115.983,120,382,35,31,39.504,23.4,24.34,0.678,41.773,89601,115,0.726,-0.248,98.641,89601,125,413,47.911,25.951,1.688,0.592,0.884,67,255
18,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 008; 01-09; 700-10000,866,102.346,30.332,67,67,218,342.157,404.246,342.436,404.137,196.208,320,385,43,41,45.315,24.333,47.663,0.283,53.6,88632,93,1.048,0.664,94.541,88632,320,419,36.656,30.406,1.862,0.537,0.757,67,255
19,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 009; 01-09; 700-10000,949,94.593,24.352,74,67,177,77.932,456.558,77.489,455.527,201.865,53,440,51,35,44.905,26.908,173.655,0.293,54.562,89769,87,1.244,0.684,87.305,89769,55,470,26.095,33.458,1.669,0.599,0.633,67,255
20,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 010; 01-09; 700-10000,1309,96.412,26.448,78,67,201,765.765,500.076,763.054,501.262,326.375,729,473,84,52,77.132,21.608,29.153,0.154,91.706,126203,89,1.396,1.792,97.906,126203,730,513,25.168,30.457,3.57,0.28,0.645,67,255
21,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 011; 01-09; 700-10000,971,134.822,42.938,98,67,253,51.709,554.59,50.751,554.956,140.853,23,539,54,29,55.454,22.295,19.718,0.615,57.94,130912,129,0.48,-0.496,100,130912,23,563,21.251,24.66,2.487,0.402,0.91,67,255
22,Ctrl_S6TPE_10_20x_Med_R_VTA red: region 012; 01-09; 700-10000,733,87.905,13.739,83,67,141,263.047,582.995,262.474,583.41,126.024,238,565,44,32,40.826,22.86,27.133,0.58,47.011,64434,87,0.715,0.462,88.207,64434,238,593,29.291,27.916,1.786,0.56,0.775,67,255
23,Ctrl_S6TPE_10_20x_Pos_R_VTA red: region 001; 01-09; 700-10000,1869,125.803,26.097,100,88,209,451.778,228.89,451.957,229.144,203.723,414,207,68,45,61.423,38.742,6.004,0.566,71.169,235126,122,0.642,-0.277,88.202,235126,414,233,17.162,45,1.585,0.631,0.817,88,255
