 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
1,Ctrl_S6TPE_10_20x_Ant_R_BLA:S6TPE_10_20x_Ant_R_BLA sele...,15936,100.03,30.319,70,70,219,612.871,418.642,608.636,422.647,5783.666,0,0,1344,1024,169.599,115.042,23.309,0.006,1543.638,1594085,89,1.433,1.589,1.31,1594085,72,935,34.575,1024,1.474,0.705,0.013,70,255
2,Ctrl_S6TPE_10_20x_Med_R_BLA:S6TPE_10_20x_Med_R_BLA sele...,18210,94.871,25.483,69,69,208,847.235,341.63,854.02,335.067,3978.45,0,0,1344,1024,181.141,123.176,39.129,0.014,1500.853,1727604,87,1.587,2.653,1.604,1727604,0,668,26.428,1024,1.471,0.707,0.017,69,255
3,Ctrl_S6TPE_10_20x_Pos_R_BLA:S6TPE_10_20x_Pos_R_BLA sele...,53374,67.399,24.385,41,41,219,641.279,447.951,633.537,462.448,5517.027,0,0,1344,1024,285.428,229.96,21.073,0.022,1438.38,3597363,60,1.491,2.691,4.518,3597363,0,809,29.167,1024,1.241,0.834,0.045,41,255
4,Ctrl_S6TPE_11_20x_Ant_L_BLA:S6TPE_11_20x_Ant_L_BLA sele...,8345,81.503,22.565,59,59,206,649.615,481.783,660.337,481.369,7817.221,0,0,1344,1024,119.206,89.133,136.016,0.002,1595.784,680145,75,1.851,4.394,0.694,680145,53,1021,36.001,1024,1.337,0.748,0.006,59,255
5,Ctrl_S6TPE_11_20x_Med_R_BLA:S6TPE_11_20x_Med_R_BLA sele...,8385,85.275,34.248,54,54,201,782.353,394.709,789.416,367.736,8623.589,15,0,1329,1024,116.021,87.947,81.23,0.001,1457.3,715035,72,1.492,1.395,0.824,715035,283,999,43.276,1013.534,1.319,0.793,0.008,54,255
6,Ctrl_S6TPE_11_20x_Pos_R_BLA:S6TPE_11_20x_Pos_R_BLA sele...,16390,82.983,26.066,57,56,174,717.047,459.456,699.677,467.676,6719.296,0,0,1344,860,188.548,106.554,22.967,0.005,1593.984,1360086,74,1.284,1.091,1.708,1360086,0,857,32.524,834.327,1.77,0.587,0.016,56,255
7,Ctrl_S6TPE_12_20x_Ant_R_BLA:S6TPE_12_20x_Ant_R_BLA sele...,16312,72.028,21.065,51,51,191,517.629,459.272,513.945,457.067,5569.139,0,0,1344,1024,171.391,121.18,35.699,0.007,1689.043,1174927,65,1.604,2.913,1.263,1174927,0,1023,37.277,1024,1.414,0.707,0.012,51,255
8,Ctrl_S6TPE_12_20x_Med_R_BLA:S6TPE_12_20x_Med_R_BLA sele...,6411,82.45,27.312,61,61,218,910.947,533.486,922.801,543.209,6195.115,0,0,1344,1024,98.669,78.367,1.738,0.002,1657.133,528587,73,2.385,6.09,0.491,528587,0,1024,37.596,1024,1.259,0.838,0.005,61,255
9,Ctrl_S6TPE_12_20x_Pos_R_BLA:S6TPE_12_20x_Pos_R_BLA sele...,29057,89.889,28.46,60,60,213,742.072,497.782,727.677,503.513,4109.927,0,0,1344,1024,227.817,162.396,22.978,0.022,1486.72,2611894,81,1.348,1.497,2.387,2611894,0,815,25.669,1024,1.403,0.713,0.024,60,255
10,Switch_S6TPE_1_20x_Ant_R_BLA:S6TPE_1_20x_Ant_R_BLA selec...,4350,95.65,33.44,69,62,228,786.343,250.958,818.973,244.212,4733.427,0,0,1344,1024,93.168,57.807,12.862,0.002,1689.648,416079,85,1.474,1.675,0.314,416079,0,1024,37.304,1024,1.612,0.638,0.003,62,255
11,Switch_S6TPE_1_20x_Med_R_BLA:S6TPE_1_20x_Med_R_BLA selec...,36889,82.228,27.443,55,54,230,777.643,402.583,783.891,405.605,4307.829,0,0,1344,1024,248.791,182.492,167.645,0.025,1543.508,3033324,74,1.669,3.427,2.884,3033324,0,0,150.545,1024,1.363,0.759,0.03,54,255
12,Switch_S6TPE_1_20x_Pos_R_BLA:S6TPE_1_20x_Pos_R_BLA selec...,26443,117.756,34.61,83,80,235,841.518,449.282,841.953,445.293,4112.176,64,0,1280,1024,204.89,164.324,0.239,0.02,1407.065,3113821,107,1.196,0.742,2.33,3113821,77,53,154.218,1024,1.247,0.802,0.023,80,255
13,Switch_S6TPE_2_20x_Ant_R_BLA:S6TPE_2_20x_Ant_R_BLA selec...,25009,72.858,23.144,50,50,193,787.02,430.815,809.207,418.232,4227.391,0,0,1344,975,220.42,144.462,177.847,0.018,1528.027,1822103,65,1.463,1.934,2.145,1822103,0,0,151.59,975,1.526,0.655,0.021,50,255
14,Switch_S6TPE_2_20x_Med_R_BLA:S6TPE_2_20x_Med_R_BLA selec...,34828,95.898,33.306,60,60,207,657.405,517.279,661.344,520.447,4480.694,0,0,1344,1024,244.567,181.318,170.814,0.022,1598.299,3339952,85,1.13,0.614,2.691,3339952,0,0,147.235,1024,1.349,0.741,0.027,60,255
15,Switch_S6TPE_2_20x_Pos_R_BLA:S6TPE_2_20x_Pos_R_BLA selec...,42437,83.431,25.795,57,57,204,658.443,480.858,644.519,491.916,4837.472,0,0,1344,1024,259.875,200.587,17.537,0.023,1635.85,3540541,75,1.646,3.184,3.068,3540541,0,957,34.817,1024,1.296,0.8,0.031,57,255
16,Switch_S6TPE_3_20x_Ant_L_BLA:S6TPE_3_20x_Ant_L_BLA selec...,18962,75.61,23.587,51,51,197,719.822,445.279,735.454,443.923,4916.687,60,0,1284,1024,177.612,130.096,159.364,0.01,1484.69,1433714,68,1.435,2.109,1.544,1433714,268,1023,43.554,1024,1.365,0.765,0.016,51,255
17,Switch_S6TPE_3_20x_Med_R_BLA:S6TPE_3_20x_Med_R_BLA selec...,24138,99.563,29.453,69,69,199,698.485,542.938,715.042,548.782,4451.799,0,0,1344,1024,215.388,138.385,14.649,0.015,1689.648,2403247,90,1.356,1.135,1.805,2403247,0,1024,37.304,1024,1.556,0.662,0.019,69,255
18,Ctrl_S6TPE_4_20x_Ant_R_BLA:S6TPE_4_20x_Ant_R_BLA selec...,11617,76.449,28.554,47,47,221,736.21,356.513,727.873,363.993,6946.598,0,0,1344,1024,146.79,100.765,14.628,0.003,1652.383,888109,67,1.407,1.878,0.95,888109,0,0,142.277,1024,1.457,0.686,0.009,47,255
19,Ctrl_S6TPE_4_20x_Med_R_BLA:S6TPE_4_20x_Med_R_BLA selec...,15950,95.132,26.8,70,70,205,685.743,468.372,716.62,463.569,4033.52,0,0,1344,1024,166.378,122.06,169.451,0.012,1403.34,1517360,86,1.869,3.647,1.373,1517360,45,181,157.766,1024,1.363,0.734,0.014,70,255
20,Ctrl_S6TPE_4_20x_Pos_R_BLA:S6TPE_4_20x_Pos_R_BLA selec...,7060,80.565,22.2,61,61,184,696.695,506.778,696.158,499.052,7629.496,0,0,1344,1024,99.655,85.449,162.66,0.002,1689.648,568787,73,2.08,4.535,0.558,568787,0,0,142.696,1024,1.166,0.905,0.005,61,255
21,Ctrl_S6TPE_5_20x_Ant_R_BLA:S6TPE_5_20x_Ant_R_BLA selec...,19093,90.533,34.292,53,53,210,767.503,423.548,740.625,410.936,5768.354,0,0,1344,1024,218.739,108.197,153.129,0.007,1689.648,1728551,80,1.164,0.742,1.396,1728551,0,0,142.696,1024,2.022,0.508,0.014,53,255
22,Ctrl_S6TPE_5_20x_Med_R_BLA:S6TPE_5_20x_Med_R_BLA selec...,14309,79.032,25.679,53,53,204,724.272,356.574,726.168,344.026,7215.136,0,0,1344,1024,154.354,113.174,5.275,0.003,1689.648,1130873,70,1.415,1.686,1.057,1130873,0,1024,37.304,1024,1.364,0.765,0.01,53,255
23,Ctrl_S6TPE_5_20x_Pos_R_BLA:S6TPE_5_20x_Pos_R_BLA selec...,22755,87.84,26.711,62,61,227,621.315,585.631,604.292,596.679,5029.845,0,0,1344,1024,220.65,131.305,13.75,0.011,1689.648,1998795,80,1.831,4.334,1.728,1998795,0,1024,37.304,1024,1.68,0.595,0.017,61,255
24,Ctrl_S6TPE_6_20x_Ant_L_BLA:S6TPE_6_20x_Ant_L_BLA selec...,34771,51.971,10.653,42,42,117,575.459,404.067,573.063,400.087,14013.716,0,0,1344,1024,234.881,188.486,55.571,0.002,1689.648,1807068,48,1.792,3.577,3.245,1807068,0,1024,37.304,1024,1.246,0.802,0.025,42,255
25,Ctrl_S6TPE_6_20x_Med_L_BLA:S6TPE_6_20x_Med_L_BLA selec...,9857,82.715,29.778,57,56,196,696.645,459.81,729.686,432.567,7472.708,0,0,1344,1024,123.079,101.969,166.842,0.002,1598.377,815318,71,1.659,2.241,0.806,815318,17,891,33.879,1024,1.207,0.828,0.008,56,255
26,Ctrl_S6TPE_6_20x_Pos_R_BLA:S6TPE_6_20x_Pos_R_BLA selec...,22027,93.086,26.794,65,65,185,614.713,533.918,601.989,524.227,8171.074,0,0,1344,1024,177.565,151.865,28.807,0.004,1689.648,2050414,84,1.177,0.588,1.898,2050414,0,1024,37.304,1024,1.169,0.89,0.017,65,255
27,Switch_S6TPE_7_20x_Ant_R_BLA:S6TPE_7_20x_Ant_R_BLA selec...,20245,71.167,25.805,44,44,206,787.481,419.354,803.659,418.966,4301.662,0,0,1344,1024,180.009,143.197,39.418,0.014,1521.415,1440770,64,1.527,2.714,1.624,1440770,0,0,152.054,1024,1.257,0.795,0.016,44,255
28,Switch_S6TPE_7_20x_Med_R_BLA:S6TPE_7_20x_Med_R_BLA selec...,44163,90.913,32.367,56,56,219,665.977,387.147,661.676,386.646,4357.584,0,0,1344,1024,271.062,201.487,147.77,0.029,1559.608,4015012,82,1.366,1.707,3.295,4015012,0,803,30.989,1024,1.345,0.765,0.034,56,255
29,Switch_S6TPE_7_20x_Pos_R_BLA:S6TPE_7_20x_Pos_R_BLA selec...,22255,100.868,32.449,70,70,206,635.498,499.587,635.423,496.944,6428.266,0,0,1344,1024,188.189,150.572,169.824,0.007,1689.648,2244824,90,1.534,1.691,1.637,2244824,0,0,142.696,1024,1.25,0.8,0.016,70,255
30,Switch_S6TPE_8_20x_Ant_R_BLA:S6TPE_8_20x_Ant_R_BLA selec...,15095,73.888,22.512,52,52,157,650.211,559.708,635.809,554.648,9545.323,0,0,1344,1024,158.358,115.555,176.947,0.002,1689.648,1115344,66,1.615,2.351,1.249,1115344,0,0,142.696,1024,1.37,0.766,0.012,52,255
31,Switch_S6TPE_8_20x_Med_R_BLA:S6TPE_8_20x_Med_R_BLA selec...,17093,95.278,27.096,68,68,207,551.993,512.509,528.576,509.123,7707.716,0,0,1273,1024,178.068,117.072,147.498,0.004,1458.784,1628587,86,1.304,1.096,1.6,1628587,0,960,40.997,1024,1.521,0.686,0.014,68,255
32,Switch_S6TPE_8_20x_Pos_R_BLA:S6TPE_8_20x_Pos_R_BLA selec...,19961,56.162,15.176,41,41,155,786.914,458.903,788.68,445.752,7169.388,0,0,1344,1024,173.096,137.617,51.86,0.005,1667.499,1121040,51,1.745,4.143,1.541,1121040,0,1024,37.495,1024,1.258,0.848,0.016,41,255
33,Switch_S6TPE_9_20x_Ant_R_BLA:S6TPE_9_20x_Ant_R_BLA selec...,22196,84.785,21.838,63,63,196,639.647,451.198,629.343,441.884,4450.103,0,0,1344,1024,187.734,150.537,1.556,0.014,1575.112,1881880,78,1.705,3.266,1.691,1881880,0,0,148.5,1024,1.247,0.802,0.017,63,255
34,Switch_S6TPE_9_20x_Med_R_BLA:S6TPE_9_20x_Med_R_BLA selec...,11694,94.17,34.188,59,59,225,591.036,508.789,589.754,524.41,4105.622,0,0,1344,1024,222.484,66.923,29.78,0.009,1566.126,1101222,83,1.475,1.905,0.997,1101222,0,804,30.888,1024,3.324,0.301,0.01,59,255
35,Switch_S6TPE_9_20x_Pos_R_BLA:S6TPE_9_20x_Pos_R_BLA selec...,10574,71.151,29.956,41,41,221,898.064,410.606,947.974,391.564,5539.736,0,0,1344,1024,141.154,95.38,29.861,0.004,1689.648,752355,62,1.669,3.164,0.817,752355,0,1024,37.304,1024,1.48,0.676,0.008,41,255
